id	Comments	Gender	Reason
1.000000	"Rooms were clean."	"female"	"leisure"
2.000000	"nothing"	"female"	"business"
3.000000	"Excellent value for money"	"male"	"leisure"
4.000000	"Parking too small. No free wifi in rooms. No crib for our child."	"female"	"leisure"
5.000000	"Comfortable rooms, outstanding breakfast, nice service"	"male"	"business"
6.000000	"Quiet location right on the beach."	"female"	"business"
7.000000	"Pleasant service"	"female"	"leisure"
8.000000	"View on the beautiful countryside and the sea."	"male"	"leisure"
9.000000	"Beautiful location"	"female"	"business"
10.000000	"The service, the cleanness and neatness of  room and  bath room. Rich and imaginative breakfast buffet"	"female"	"business"
11.000000	"Outstanding services"	"male"	"business"
12.000000	"Excellent location by the  beach, diverse excursion offerings, varied buffet, friendly service staff"	"male"	"business"
13.000000	"Friendly room service, attentive staff"	"female"	"leisure"
14.000000	"The hotel staff was always very courteous. The breakfast buffet was very monotonous,  every morning the same offer and there were no fresh fruit"	"female"	"leisure"
15.000000	"Clean hotel, but small room."	"male"	"business"
16.000000	"the sun terrace was wonderful, and the spa was very nice."	"female"	"business"
17.000000	"Very quiet, but very expensive"	"male"	"leisure"
18.000000	"Breakfast Buffet, luxurious bathrooms. Friendliness of the staff, tour guides"	"female"	"business"
19.000000	"Excellent price/quality ratio, great technical equipment of the room, but noisy at night"	"male"	"leisure"
20.000000	"Friendly service,  quietness and  cleanliness throughout the whole hotel. The beds were a bit too small, you could not stretch out."	"male"	"leisure"
21.000000	"Service, quiet location, room facilities, but no parking facilities"	"male"	"leisure"
22.000000	"Selection at  breakfast buffet, nice size of the rooms, attentive staff"	"female"	"leisure"
23.000000	"nice atmosphere, great decoration, great service; but  breakfast hours too limited."	"female"	"business"
24.000000	"Breakfast buffet, lounge, good service"	"female"	"leisure"
25.000000	"I enjoyed the good food, the friendly staff, the room, the cleanliness, the view, the proximity to the city center,  beach, sea, the transport, the accessibility"	"male"	"business"
26.000000	"My wife and I appreciated the size of rooms, the lounge, the spa and the restaurant."	"male"	"leisure"
27.000000	"I appreciated the rooms and the service"	"male"	"business"
28.000000	"good service"	"female"	"leisure"
29.000000	"Small room but cosy. Great restaurant."	"male"	"business"
30.000000	"Small but cozy room. However night porter was extremely offensive"	"female"	"business"
31.000000	"Great room decor and the friendliness of the staff."	"male"	"business"
32.000000	"Everything was fine. Hotel was in good condition"	"female"	"leisure"
33.000000	"Price-performance ratio is right. Location is fantastic. "	"female"	"leisure"
34.000000	"The rooms are very well appointed"	"male"	"business"
35.000000	"The view is spectacular! Great renovation"	"female"	"leisure"
36.000000	"The location of the hotel is really great. Poor staff"	"female"	"leisure"
37.000000	"The rooms were newly renovated, quite spacious and  clean. Prices are reasonable."	"female"	"leisure"
38.000000	"a hotel with good price / performance ratio, but air conditioning is not individually adjustable"	"male"	"business"
39.000000	"We were very satisfied by the accommodation, the location and the service. Besides, rooms were extremely clean. We would return"	"female"	"leisure"
40.000000	"Very well-kept house in a central location."	"female"	"leisure"
41.000000	"Highly recommended"	"male"	"business"
42.000000	"Hotel crew very friendly and accommodating."	"male"	"leisure"
43.000000	"The hotel was very acceptable."	"female"	"business"
44.000000	"The price was absolutely great"	"male"	"business"
45.000000	"The rooms are extremely clean and spacious."	"female"	"business"
46.000000	"The hotel is very quiet, but rooms weren't cleaned daily."	"female"	"leisure"
47.000000	"The staff was friendly and accommodating."	"male"	"leisure"
48.000000	"Friendly and courteous staff."	"male"	"business"
49.000000	"We immediately felt comfortable, like at home."	"male"	"business"
50.000000	"Very beautiful. The suites are well-furnished and very nice."	"male"	"leisure"
51.000000	"very well run hotel"	"male"	"leisure"
52.000000	"quiet hotel"	"female"	"business"
53.000000	"very quiet Hhotel"	"male"	"business"
54.000000	"I highly recommend this hotel. Very nice and helpful service."	"male"	"leisure"
55.000000	"Great hotel in a beautiful landscape"	"male"	"leisure"
56.000000	"Great location."	"female"	"leisure"
57.000000	"The hotel is a dream for those seeking tranquility."	"male"	"leisure"
58.000000	"The rooms are very well furnished and clean"	"female"	"leisure"
59.000000	"A very well-kept hotel."	"female"	"business"
60.000000	"Excellent value for money"	"female"	"leisure"
61.000000	"This hotel is a must  in every respect : cleanliness, quality and variety of food"	"female"	"leisure"
62.000000	"family-friendly, quiet, clean."	"female"	"leisure"
63.000000	"always trying to improve quality."	"male"	"business"
64.000000	"The service was good."	"female"	"leisure"
65.000000	"Service was fine."	"male"	"business"
66.000000	"Outstanding and very cheap room service"	"female"	"leisure"
67.000000	"Good quality and hygiene"	"female"	"business"
68.000000	"Very good selection at the buffet."	"female"	"business"
69.000000	"Varied food at breakfast."	"female"	"leisure"
70.000000	"Room was good, clean and well maintained. Air conditioning could be regulated."	"male"	"business"
71.000000	"The apartments are well furnished."	"male"	"business"
72.000000	"the bathroom was OK."	"male"	"leisure"
73.000000	"Price-performance ratio is great!"	"male"	"leisure"
74.000000	"Super value for money!"	"female"	"leisure"
75.000000	"We were pleasantly surprised by the food. Buffet breakfast was always plentiful and delicious"	"male"	"leisure"
76.000000	"The hotel is very quiet. For me, it was optimal."	"male"	"business"
